client_id,communication_round,loss,accuracy
1,1,2.0825092792510986,0.7355491518974304
1,2,1.618565559387207,0.8648843765258789
1,3,1.3033275604248047,0.8952311873435974
1,4,1.0903407335281372,0.9067919254302979
1,5,0.9397788047790527,0.9118497371673584
1,6,0.8292331695556641,0.9125722646713257
1,7,0.7456056475639343,0.9161849617958069
1,8,0.6806837916374207,0.9169074892997742
1,9,0.6290712356567383,0.9197976589202881
1,10,0.5871379375457764,0.9205202460289001
1,11,0.5524080395698547,0.9234104156494141
1,12,0.5231595039367676,0.9248554706573486
1,13,0.4981665313243866,0.9270231127738953
1,14,0.4765389859676361,0.9284682273864746
1,15,0.45761606097221375,0.9291907548904419
1,16,0.44089946150779724,0.9291907548904419
1,17,0.4260061979293823,0.9284682273864746
1,18,0.4126373827457428,0.9313583970069885
1,19,0.4005570113658905,0.9320809245109558
1,20,0.3895761966705322,0.9328034520149231
1,21,0.37954142689704895,0.9328034520149231
1,22,0.37032783031463623,0.9342485666275024
1,23,0.36183077096939087,0.935693621635437
