loss,accuracy
0.0032365249935537577,0.037854891270399094
0.0003319427778478712,0.04446742683649063
0.04204391688108444,0.0793071985244751
0.03549826145172119,0.044150110334157944
0.014354248531162739,0.11777456849813461
0.0034303737338632345,0.840694010257721
0.0003545847721397877,0.9731127023696899
0.040311049669981,0.17137648165225983
0.03598380088806152,0.32891830801963806
0.015030266717076302,0.39667630195617676
0.003657757304608822,0.9022082090377808
0.00030071981018409133,0.3888314366340637
0.03847266733646393,0.9498632550239563
0.03218614682555199,0.9654157757759094
0.0147242471575737,0.080924853682518
0.0032654826063662767,0.9195583462715149
0.0003392120997887105,0.8862461447715759
0.03833067789673805,0.951686441898346
0.015033421106636524,0.301300585269928
0.033591438084840775,0.9558498859405518
0.003942510113120079,0.9763407111167908
0.0003212174342479557,0.5491210222244263
0.03803187981247902,0.5478578209877014
0.037022121250629425,0.5974981784820557
0.01506457943469286,0.13800577819347382
0.0038519161753356457,0.8958990573883057
0.0003081085451412946,0.8862461447715759
0.04036590829491615,0.6663628220558167
0.033308327198028564,0.9124355912208557
0.014157119207084179,0.9190751314163208
0.0037471556570380926,0.7539432048797607
0.00031537804170511663,0.9214063882827759
0.04005803167819977,0.26253417134284973
0.03583813086152077,0.39955848455429077
0.014253470115363598,0.9631502628326416
0.0036808836739510298,0.9731861352920532
0.0003182381624355912,0.5594622492790222
0.0385412834584713,0.2944393754005432
0.014885050244629383,0.5874277353286743
0.03693548962473869,0.4208977222442627
0.003648704383522272,0.32176655530929565
0.041367556899785995,0.07019142806529999
0.00026603974401950836,0.8159255385398865
0.03613527864217758,0.14569535851478577
0.013317090459167957,0.9667630195617676
0.0037115993909537792,0.897476315498352
0.03923236206173897,0.951686441898346
0.0002795067266561091,0.5025852918624878
0.03228028863668442,0.9639440774917603
0.014011112973093987,0.49855491518974304
0.0034542889334261417,0.5378549098968506
0.0002985746832564473,0.6980351805686951
0.038292329758405685,0.9088423252105713
0.03411370888352394,0.7637969255447388
0.014095179736614227,0.9472543597221375
0.0033994719851762056,0.4132492244243622
0.0003013156820088625,0.6380558609962463
0.038223717361688614,0.8778486847877502
0.034529704600572586,0.6902133822441101
0.014061649329960346,0.9523121118545532
0.003950020764023066,0.9731861352920532
0.00031668893643654883,0.5563598871231079
0.037966467440128326,0.5350956916809082
0.03730040416121483,0.5680647492408752
0.014869751408696175,0.5823699235916138
0.003747037146240473,0.9511041045188904
0.0392751544713974,0.742935299873352
0.00030763185350224376,0.4043433368206024
0.03316548094153404,0.9529065489768982
0.014847978949546814,0.17774567008018494
0.003932550549507141,0.9747633934020996
0.03848818317055702,0.48404741287231445
0.00031704644788987935,0.47983452677726746
0.03661753237247467,0.6254599094390869
0.015050401911139488,0.11343930661678314
0.0038418611511588097,0.8927444815635681
0.04062341898679733,0.6599817872047424
0.0003066784702241421,0.8810755014419556
0.03329673036932945,0.9131714701652527
0.014152462594211102,0.9205202460289001
0.0037494036369025707,0.7539432048797607
0.040147021412849426,0.2588878870010376
0.0003149013500660658,0.9224405288696289
0.035823725163936615,0.3973509967327118
0.014250395819544792,0.9631502628326416
0.003458787687122822,0.8722397685050964
0.040013279765844345,0.1996353715658188
0.0003488647344056517,0.975180983543396
0.03571094200015068,0.3583517372608185
