client_id,communication_round,loss,accuracy
2,1,0.00012170527770649642,0.9824198484420776
2,2,4.494089080253616e-05,0.9824198484420776
2,3,2.5033637939486653e-05,0.9803516268730164
2,4,1.4662635294371285e-05,0.9803516268730164
2,5,1.0490362910786644e-05,0.9813857078552246
2,6,7.152531907195225e-06,0.9813857078552246
2,7,5.483612312673358e-06,0.9813857078552246
2,8,4.172316494077677e-06,0.9813857078552246
2,9,3.3378546504536644e-06,0.9803516268730164
2,10,2.50339189733495e-06,0.9803516268730164
2,11,2.145764938177308e-06,0.9793174862861633
2,12,1.6689286894688848e-06,0.9793174862861633
